episode,steps,reward,avg_reward_100,alpha,critic_loss,actor_loss,duration
54,55,58.87,58.87,0.3599,-9.067166,0.000000,6.38
55,641,3449.30,1754.08,0.3718,-13.515365,0.000000,33.98
56,159,592.58,1366.91,0.3736,-15.316882,0.000000,7.37
57,252,1141.40,1310.54,0.3774,-13.959148,0.000000,13.81
58,97,289.08,1106.25,0.3810,-14.780138,0.000000,4.80
59,163,664.37,1032.60,0.3788,-14.487371,0.000000,9.02
60,329,1529.10,1103.53,0.3864,-15.681133,0.000000,15.93
61,54,-106.68,952.25,0.3888,-15.310118,0.000000,3.20
