episode,steps,reward,avg_reward_100,alpha,critic_loss,actor_loss,duration
62,371,-462.89,-462.89,0.4043,-17.051938,0.000000,23.50
63,375,-505.41,-484.15,0.4222,-5.208281,0.000000,18.67
64,670,-290.85,-419.72,0.4419,8.617962,0.000000,34.84
65,85,-471.29,-432.61,0.4421,12.857872,0.000000,4.68
66,488,-400.28,-426.14,0.4573,26.150478,0.000000,24.76
67,221,-461.00,-431.95,0.4530,35.476114,0.000000,10.68
68,187,-405.39,-428.16,0.4598,89.172374,0.000000,10.19
69,189,-398.57,-424.46,0.4653,41.125207,0.000000,9.99
