episode,steps,reward,avg_reward_100,epsilon,loss,duration
114,238,-165.98,-225.90,0.0500,795.223762,23.23
115,64,-139.27,-225.24,0.0500,905.482594,7.74
116,66,-183.92,-226.92,0.0500,754.571366,5.36
117,81,-170.50,-227.42,0.0500,739.239701,9.66
118,155,-167.74,-227.75,0.0500,901.162668,17.83
119,52,-195.10,-229.18,0.0500,633.315340,5.75
120,53,-190.08,-229.43,0.0500,926.995594,6.07
121,67,-150.56,-230.19,0.0500,1020.777424,7.73
122,91,-34.30,-228.65,0.0500,1349.002774,9.63
123,69,-121.67,-228.91,0.0500,1349.130682,5.28
124,143,-135.66,-228.39,0.0500,1367.984806,15.61
125,124,167.49,-224.81,0.0500,1261.488173,11.12
126,71,-105.98,-223.85,0.0500,967.381508,7.31
127,59,-179.15,-223.58,0.0500,999.677701,6.58
128,73,-101.94,-223.96,0.0500,1257.990423,7.78
129,64,-193.16,-223.90,0.0500,940.536252,4.08
130,99,-21.01,-222.57,0.0500,904.403378,10.32
131,58,-184.90,-222.52,0.0500,1146.420708,6.28
132,64,-170.55,-221.94,0.0500,1606.675045,6.82
133,63,-166.76,-223.22,0.0500,1570.552959,5.00
134,66,-161.07,-222.69,0.0500,1264.199664,7.83
135,147,-282.80,-225.64,0.0500,1765.241167,16.88
136,114,74.00,-213.26,0.0500,1583.769339,10.12
137,122,-64.25,-212.14,0.0500,1941.676338,13.87
138,2000,-12516.51,-336.07,0.0500,1715.147838,201.64
139,173,-235.74,-336.40,0.0500,1552.480840,16.97
140,151,228.47,-329.17,0.0500,1328.127826,15.69
141,120,-42.03,-331.41,0.0500,1549.329507,10.09
142,108,99.68,-329.62,0.0500,1365.919639,11.67
143,58,-188.75,-330.57,0.0500,1376.723957,6.91
144,80,-86.23,-330.24,0.0500,1481.245306,9.33
145,97,-189.85,-331.25,0.0500,1244.689865,8.08
146,68,-141.29,-332.16,0.0500,2145.192552,7.66
147,62,-153.75,-332.40,0.0500,1707.466355,7.11
148,239,-251.88,-266.79,0.0500,1762.113125,24.37
149,60,-163.20,-267.02,0.0500,1857.710042,6.44
150,65,-135.77,-265.36,0.0500,1529.760781,4.51
151,64,-135.91,-260.71,0.0500,1474.629849,7.02
152,123,-128.78,-261.07,0.0500,2110.801231,13.52
153,79,-62.82,-261.62,0.0500,2650.790340,8.53
154,68,-156.63,-259.24,0.0500,2050.159008,4.92
155,77,-95.37,-256.07,0.0500,2764.559686,7.81
156,73,-155.13,-255.23,0.0500,3148.984311,8.04
157,97,-56.73,-257.45,0.0500,2733.195247,10.36
158,71,-164.08,-259.24,0.0500,2826.546259,7.90
159,165,-138.44,-260.25,0.0500,2542.118338,18.42
160,106,-110.03,-260.93,0.0500,2522.562843,7.27
161,58,-161.73,-262.04,0.0500,3047.925466,5.65
162,73,-115.44,-262.28,0.0500,2632.058582,6.89
163,130,70.75,-256.89,0.0500,2509.947384,12.94
164,54,-180.83,-255.87,0.0500,2603.112327,7.93
165,167,-609.08,-267.76,0.0500,3252.173105,18.48
166,61,-202.89,-263.81,0.0500,3107.621316,6.15
167,52,-185.77,-265.28,0.0500,2803.353811,3.84
168,63,-149.45,-266.00,0.0500,2940.849342,6.39
169,57,-182.04,-267.03,0.0500,2443.995597,6.00
170,55,-191.75,-267.80,0.0500,2521.002934,5.96
171,106,-85.54,-268.16,0.0500,2841.562213,10.16
172,242,-217.76,-273.17,0.0500,3669.954480,25.34
173,60,-169.73,-273.41,0.0500,3399.104698,3.67
174,96,-410.77,-276.09,0.0500,2826.647118,10.22
175,56,-186.27,-275.87,0.0500,2499.091206,6.50
176,76,-141.07,-275.74,0.0500,2298.604979,8.98
177,84,-43.61,-274.56,0.0500,3562.123638,7.57
178,480,-1812.18,-288.05,0.0500,3404.429586,51.29
179,72,-150.28,-290.59,0.0500,2792.749902,5.80
180,68,-159.01,-290.31,0.0500,2551.703534,7.11
181,173,-18.40,-289.85,0.0500,2785.484054,18.47
182,257,-730.97,-294.17,0.0500,3058.583873,24.98
183,84,-66.25,-292.99,0.0500,3268.730674,6.52
184,55,-174.71,-294.24,0.0500,3148.549876,5.28
185,94,-75.03,-293.23,0.0500,3219.644256,10.36
186,62,-154.08,-293.06,0.0500,4315.577538,6.79
187,89,-50.83,-291.95,0.0500,4758.343281,7.30
188,82,-65.98,-291.84,0.0500,5098.368560,8.39
189,59,-175.27,-291.45,0.0500,5259.569849,6.13
190,60,-167.88,-291.41,0.0500,5042.294938,6.26
191,57,-172.61,-291.54,0.0500,5729.567263,5.99
192,75,-99.88,-286.12,0.0500,5304.825905,5.23
193,58,-187.92,-285.59,0.0500,4682.063312,6.01
194,61,-145.14,-285.38,0.0500,4332.244601,6.39
195,62,-160.56,-285.08,0.0500,5006.693525,6.33
196,103,-120.11,-285.97,0.0500,5058.277834,8.36
197,64,-146.69,-285.37,0.0500,5077.170994,6.42
198,103,-13.19,-283.65,0.0500,5822.287541,10.34
199,59,-177.62,-277.27,0.0500,6316.241376,5.98
200,57,-171.90,-278.38,0.0500,5903.723530,3.40
201,2000,-15359.13,-430.49,0.0500,12524.091173,210.44
202,2000,-10218.64,-530.76,0.0500,41767.981862,215.72
203,2000,-14248.64,-673.01,0.0500,55117.691467,214.55
204,2000,-6813.35,-739.65,0.0500,79808.056008,209.21
205,2000,-19551.90,-934.33,0.0500,6179773.458203,207.52
206,2000,-6813.35,-1002.59,0.0500,149911506.232000,207.54
207,2000,-6813.35,-1069.08,0.0500,793607250.376000,208.20
